Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-15 14-01-39,2024-01-15 19-01-39,0,1.1,0.6,233.832,141.555,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-02-40,2024-01-15 19-02-40,0,1,0.6,234.902,141.666,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-03-40,2024-01-15 19-03-40,0,1.2,0.8,235.512,141.478,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-04-41,2024-01-15 19-04-41,0,1.4,0.6,235.512,141.589,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-05-41,2024-01-15 19-05-41,0,1.4,0.8,236.289,141.7,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-06-41,2024-01-15 19-06-41,0,1.5,0.6,237.18,141.81,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-07-42,2024-01-15 19-07-42,0,1.7,0.9,238.055,141.921,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-08-42,2024-01-15 19-08-42,0,1.6,1.1,239.051,142.032,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-09-42,2024-01-15 19-09-42,0,1.7,1,239.938,142.143,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-10-43,2024-01-15 19-10-43,0,1.7,5.4,250.027,142.254,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-11-43,2024-01-15 19-11-43,0,1.5,0.8,250.102,142.364,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-12-43,2024-01-15 19-12-43,0,1.5,0.8,250.102,142.475,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-13-44,2024-01-15 19-13-44,0,1.7,0.9,250.148,142.586,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-14-44,2024-01-15 19-14-44,0,1.6,1,250.148,142.697,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-15-45,2024-01-15 19-15-45,0,1.7,0.9,250.152,142.807,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-16-45,2024-01-15 19-16-45,0,1.6,0.9,250.141,142.918,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-17-45,2024-01-15 19-17-45,0,1.6,0.8,250.137,143.029,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-18-46,2024-01-15 19-18-46,0,1.6,0.9,250.133,143.14,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-19-46,2024-01-15 19-19-46,0,1.6,1,250.891,143.149,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-20-46,2024-01-15 19-20-46,0,1.7,1,250.852,143.245,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-21-47,2024-01-15 19-21-47,0,1.7,0.9,250.914,143.355,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-22-47,2024-01-15 19-22-47,0,1.6,0.5,250.91,143.401,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-23-47,2024-01-15 19-23-47,0,1.4,0.8,250.906,143.512,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-24-48,2024-01-15 19-24-48,0,1.5,0.9,250.914,143.623,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-25-48,2024-01-15 19-25-48,0,1.7,1,250.914,143.733,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-26-48,2024-01-15 19-26-48,0,1.7,0.9,250.914,143.844,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-27-49,2024-01-15 19-27-49,0,1.7,0.7,251.062,143.955,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-28-49,2024-01-15 19-28-49,0,1.5,0.8,251.051,144.065,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-29-50,2024-01-15 19-29-50,0,1.8,1,251.039,144.176,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-30-50,2024-01-15 19-30-50,0,1.8,1.3,257.133,144.287,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-31-50,2024-01-15 19-31-50,0,1.7,1.1,257.156,144.397,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-32-51,2024-01-15 19-32-51,0,1.7,1.2,257.152,144.508,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-33-51,2024-01-15 19-33-51,0,1.8,1,257.207,144.618,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-34-51,2024-01-15 19-34-51,0,1.7,0.9,257.199,144.729,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-35-52,2024-01-15 19-35-52,0,1.7,0.6,257.277,144.84,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-36-52,2024-01-15 19-36-52,0,1.8,1.3,257.277,144.052,0,0,0,0,0,0,0,0,0,0,
2024-01-15 14-37-52,2024-01-15 19-37-52,0,1.8,0.8,257.27,144.163,0,0,0,0,0,0,0,0,0,0,
