Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-14 07-01-32,2024-01-14 12-01-32,0,1.3,0.3,233.008,141.428,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-02-32,2024-01-14 12-02-32,0,0.9,0.4,234.156,141.539,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-03-32,2024-01-14 12-03-32,0,1,0.5,235.027,141.505,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-04-33,2024-01-14 12-04-33,0,1,0.5,235.09,141.467,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-05-33,2024-01-14 12-05-33,0,1,0.5,235.359,141.578,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-06-33,2024-01-14 12-06-33,0,1,0.6,236.121,141.688,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-07-34,2024-01-14 12-07-34,0,1.1,0.7,236.742,141.799,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-08-34,2024-01-14 12-08-34,0,1.1,0.7,237.699,141.91,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-09-34,2024-01-14 12-09-34,0,1.1,0.7,238.59,142.021,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-10-35,2024-01-14 12-10-35,0,1.2,0.6,248.52,142.132,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-11-35,2024-01-14 12-11-35,0,1,0.4,248.852,142.243,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-12-36,2024-01-14 12-12-36,0,1,0.6,248.852,142.354,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-13-36,2024-01-14 12-13-36,0,1.1,0.6,248.84,142.464,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-14-36,2024-01-14 12-14-36,0,1.3,0.6,248.832,142.575,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-15-37,2024-01-14 12-15-37,0,1.3,0.8,248.828,142.686,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-16-37,2024-01-14 12-16-37,0,1.3,0.7,248.816,142.647,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-17-37,2024-01-14 12-17-37,0,1.3,0.6,248.816,142.735,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-18-38,2024-01-14 12-18-38,0,1.1,0.8,248.816,142.846,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-19-38,2024-01-14 12-19-38,0,1.2,0.6,249.312,142.957,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-20-38,2024-01-14 12-20-38,0,1.2,0.8,249.887,142.926,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-21-39,2024-01-14 12-21-39,0,1.5,0.6,249.91,143.037,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-22-39,2024-01-14 12-22-39,0,1.4,0.6,249.91,143.148,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-23-39,2024-01-14 12-23-39,0,1.6,0.9,249.906,143.259,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-24-40,2024-01-14 12-24-40,0,1.4,1.3,249.906,143.369,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-25-40,2024-01-14 12-25-40,0,1.5,0.9,249.902,143.48,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-26-40,2024-01-14 12-26-40,0,1.4,0.7,249.895,143.591,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-27-41,2024-01-14 12-27-41,0,1.4,0.7,249.883,143.702,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-28-41,2024-01-14 12-28-41,0,1.5,0.7,249.871,143.812,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-29-41,2024-01-14 12-29-41,0,1.3,1,249.867,143.923,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-30-42,2024-01-14 12-30-42,0,1.2,0.7,256.5,144.034,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-31-42,2024-01-14 12-31-42,0,1.2,0.6,256.52,144.145,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-32-42,2024-01-14 12-32-42,0,1.2,0.7,256.52,144.256,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-33-43,2024-01-14 12-33-43,0,1.5,0.8,256.512,144.366,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-34-43,2024-01-14 12-34-43,0,1.2,0.6,256.5,144.477,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-35-44,2024-01-14 12-35-44,0,1.2,0.7,262.777,144.588,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-36-44,2024-01-14 12-36-44,0,1.1,0.6,262.762,144.699,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-37-44,2024-01-14 12-37-44,0,1.1,0.6,262.734,143.911,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-38-45,2024-01-14 12-38-45,0,1,0.5,262.855,144.022,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-39-45,2024-01-14 12-39-45,0,1,0.5,262.844,144.133,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-40-45,2024-01-14 12-40-45,0,0.9,0.5,251.609,143.389,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-41-46,2024-01-14 12-41-46,0,1,0.5,251.805,143.499,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-42-46,2024-01-14 12-42-46,0,1,0.7,251.805,143.61,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-43-46,2024-01-14 12-43-46,0,1.1,0.5,251.805,143.721,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-44-47,2024-01-14 12-44-47,0,0.8,0.4,251.801,143.832,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-45-47,2024-01-14 12-45-47,0,0.8,0.6,251.797,143.943,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-46-47,2024-01-14 12-46-47,0,0.9,0.7,251.832,144.054,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-47-48,2024-01-14 12-47-48,0,0.9,0.5,252.34,144.165,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-48-48,2024-01-14 12-48-48,0,0.9,0.6,252.582,144.276,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-49-49,2024-01-14 12-49-49,0,0.9,0.4,253.344,144.387,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-50-49,2024-01-14 12-50-49,0,0.9,0.5,260.262,144.498,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-51-49,2024-01-14 12-51-49,0,1.1,0.5,260.309,144.609,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-52-50,2024-01-14 12-52-50,0,0.9,0.3,260.309,144.72,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-53-50,2024-01-14 12-53-50,0,1,0.7,260.297,144.83,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-54-50,2024-01-14 12-54-50,0,1,0.5,260.297,144.941,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-55-51,2024-01-14 12-55-51,0,1.1,0.4,260.297,145.052,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-56-51,2024-01-14 12-56-51,0,1.1,0.6,260.289,145.163,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-57-51,2024-01-14 12-57-51,0,1.1,0.6,260.285,145.056,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-58-52,2024-01-14 12-58-52,0,1.3,0.8,260.543,144.739,0,0,0,0,0,0,0,0,0,0,
2024-01-14 07-59-52,2024-01-14 12-59-52,0,1.3,0.5,261.07,144.519,0,0,0,0,0,0,0,0,0,0,
