Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-14 13-46-20,2024-01-14 18-46-20,0,1.3,0.4,232.402,141.545,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-47-21,2024-01-14 18-47-21,0,1.2,0.9,233.453,141.656,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-48-21,2024-01-14 18-48-21,0,1.3,0.8,234.324,141.766,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-49-21,2024-01-14 18-49-21,0,1.4,0.7,235.34,141.877,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-50-22,2024-01-14 18-50-22,0,1.4,0.7,236.309,141.988,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-51-22,2024-01-14 18-51-22,0,1.4,0.6,236.945,142.099,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-52-22,2024-01-14 18-52-22,0,1.5,0.7,238.016,142.21,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-53-23,2024-01-14 18-53-23,0,1.4,0.5,238.914,142.024,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-54-23,2024-01-14 18-54-23,0,1.3,0.9,239.812,142.135,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-55-23,2024-01-14 18-55-23,0,1.2,0.6,249.203,142.246,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-56-24,2024-01-14 18-56-24,0,1.4,0.7,249.543,142.356,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-57-24,2024-01-14 18-57-24,0,1.4,0.7,249.547,142.467,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-58-24,2024-01-14 18-58-24,0,1.4,0.7,249.523,142.578,0,0,0,0,0,0,0,0,0,0,
2024-01-14 13-59-25,2024-01-14 18-59-25,0,1.6,1,249.52,142.689,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-00-25,2024-01-14 19-00-25,0,1.5,0.8,249.508,142.799,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-01-26,2024-01-14 19-01-26,0,1.6,0.7,249.496,142.91,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-02-26,2024-01-14 19-02-26,0,1.6,1,249.496,143.021,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-03-26,2024-01-14 19-03-26,0,1.5,1.1,249.711,143.075,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-04-27,2024-01-14 19-04-27,0,1.3,0.9,249.711,143.186,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-05-27,2024-01-14 19-05-27,0,0.9,0.3,249.734,143.297,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-06-27,2024-01-14 19-06-27,0,0.8,0.5,249.766,143.408,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-07-28,2024-01-14 19-07-28,0,0.8,0.4,249.766,143.519,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-08-28,2024-01-14 19-08-28,0,0.9,0.4,249.766,143.629,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-09-28,2024-01-14 19-09-28,0,0.8,0.3,249.766,143.74,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-10-28,2024-01-14 19-10-28,0,0.7,0.5,249.762,143.851,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-11-29,2024-01-14 19-11-29,0,0.8,0.5,249.754,143.962,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-12-29,2024-01-14 19-12-29,0,0.8,0.4,249.742,144.073,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-13-29,2024-01-14 19-13-29,0,0.7,0.5,249.73,144.184,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-14-30,2024-01-14 19-14-30,0,0.8,0.5,249.719,143.905,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-15-30,2024-01-14 19-15-30,0,0.8,0.3,249.707,144.016,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-16-30,2024-01-14 19-16-30,0,0.8,0.2,255.934,144.126,0,0,0,0,0,0,0,0,0,0,
2024-01-14 14-17-30,2024-01-14 19-17-30,1,5.1,0.3,1246.45,528.396,20,2,7,1,1546,2,40.7521,1,1,1,
2024-01-14 14-18-31,2024-01-14 19-18-31,1,1.6,0.3,1261.1,538.341,21,2,8,1,42,2,2.24298,1,1,1,
2024-01-14 14-19-31,2024-01-14 19-19-31,1,5.5,0.1,1415.45,569.752,21,2,8,1,16645,2,16.5273,1,1,1,
2024-01-14 14-20-31,2024-01-14 19-20-31,1,1.3,0.2,1413.46,547.279,21,2,8,1,25,2,2.44711,1,1,1,
2024-01-14 14-21-32,2024-01-14 19-21-32,1,1.3,0.1,1332.99,539.238,21,2,8,1,43,2,2.48264,1,1,1,
2024-01-14 14-22-32,2024-01-14 19-22-32,1,1.4,0.1,1354.21,490.106,21,2,6,1,39,2,2.42397,1,1,1,
2024-01-14 14-23-32,2024-01-14 19-23-32,1,1.3,0,1354.25,490.958,21,2,6,1,17,2,2.26281,1,1,1,
2024-01-14 14-24-32,2024-01-14 19-24-32,1,1.5,0.1,1264.54,484.126,21,2,5,1,14,2,2.18512,1,1,1,
2024-01-14 14-25-33,2024-01-14 19-25-33,1,1.9,0.1,1273.03,486.718,21,2,5,1,37,2,2.23471,1,1,1,
2024-01-14 14-26-33,2024-01-14 19-26-33,1,2.6,0.2,1322.42,490.966,21,2,5,1,136,2,2.56364,1,1,1,
2024-01-14 14-27-33,2024-01-14 19-27-33,1,2.1,0.3,1337.21,483.436,22,2,5,1,46,2,2.28843,1,1,1,
2024-01-14 14-28-34,2024-01-14 19-28-34,1,2,0.1,1338.73,485.981,22,2,5,1,37,2,2.19339,1,1,1,
2024-01-14 14-29-34,2024-01-14 19-29-34,1,2.2,0.2,1334.3,496.794,8,2,5,1,14,2,2.14876,1,1,1,
2024-01-14 14-30-34,2024-01-14 19-30-34,1,1.9,0.3,1377.21,539.726,9,2,7,1,47,2,2.26364,1,1,1,
2024-01-14 14-31-35,2024-01-14 19-31-35,1,1.4,0.2,1377.07,516.626,11,2,7,1,102,2,2.1876,1,1,1,
2024-01-14 14-32-35,2024-01-14 19-32-35,1,1.2,0,1370.96,472.273,11,2,6,1,28,1,1.94298,1,1,1,
2024-01-14 14-33-35,2024-01-14 19-33-35,1,0.9,0.2,1369.63,473.257,11,2,6,1,37,1,1.75372,1,1,1,
2024-01-14 14-34-36,2024-01-14 19-34-36,1,0.9,0.1,1371.84,472.33,11,2,6,1,14,1,1.70331,1,1,1,
2024-01-14 14-35-36,2024-01-14 19-35-36,1,0.9,0.1,1373.3,464.24,11,2,5,1,43,1,1.76942,1,1,1,
2024-01-14 14-36-36,2024-01-14 19-36-36,1,1.3,0.1,1371.06,463.549,11,2,4,1,49,1,1.8314,1,1,1,
2024-01-14 14-37-37,2024-01-14 19-37-37,1,1.1,0.4,1369.07,461.734,10,2,4,1,38,1,1.70165,1,1,1,
2024-01-14 14-38-37,2024-01-14 19-38-37,2,1.7,0.3,1459.07,547.568,15,2,6,2,569,1,3.40083,1,1,1,
2024-01-14 14-39-37,2024-01-14 19-39-37,2,2.2,0.1,1463.98,554.488,13,2,6,2,45,2,2.43719,1,1,1,
2024-01-14 14-40-38,2024-01-14 19-40-38,2,2.1,0,1470.38,551.539,13,2,6,2,40,2,2.41983,1,1,1,
2024-01-14 14-41-38,2024-01-14 19-41-38,2,2.2,0.3,1467.57,555.13,14,2,6,2,84,2,2.58017,1,1,1,
2024-01-14 14-42-38,2024-01-14 19-42-38,2,2.2,0.3,1472.77,550.391,14,2,6,2,37,2,2.4405,1,1,1,
2024-01-14 14-43-39,2024-01-14 19-43-39,2,2.3,0.2,1496.35,573.398,14,2,7,2,42,2,2.56942,1,1,1,
2024-01-14 14-44-39,2024-01-14 19-44-39,2,2.3,0.1,1655.68,632.077,14,2,8,2,36,2,2.39421,1,1,1,
2024-01-14 14-45-39,2024-01-14 19-45-39,2,2.2,0.3,1654.45,637.99,14,2,8,2,25,2,2.37355,1,1,1,
2024-01-14 14-46-40,2024-01-14 19-46-40,2,2.8,0.2,1677.62,643.428,14,2,8,2,49,2,2.67851,1,1,1,
2024-01-14 14-47-40,2024-01-14 19-47-40,2,2.6,0.1,1673.97,646.007,14,2,8,2,24,2,2.56033,1,1,1,
2024-01-14 14-48-40,2024-01-14 19-48-40,2,2.7,0.1,1676.47,653.017,9,2,8,2,40,2,2.55124,1,1,1,
2024-01-14 14-49-41,2024-01-14 19-49-41,2,3,0.1,1677.03,648.235,9,2,8,2,31,2,2.58512,1,1,1,
