Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-19 07-01-31,2024-01-19 12-01-31,0,8.3,3.2,233.848,141.354,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-02-31,2024-01-19 12-02-31,0,8.1,6.4,234.941,141.461,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-03-31,2024-01-19 12-03-31,0,12.1,6.8,235.625,141.272,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-04-31,2024-01-19 12-04-31,0,10.5,2.3,239.5,141.377,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-05-32,2024-01-19 12-05-32,0,7.3,3.3,239.5,141.485,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-06-32,2024-01-19 12-06-32,0,8.5,4.1,239.48,141.593,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-07-32,2024-01-19 12-07-32,0,8.6,2.7,239.465,141.701,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-08-32,2024-01-19 12-08-32,0,9.7,4.7,239.441,141.808,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-09-32,2024-01-19 12-09-32,0,9,5.9,240.332,141.916,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-10-33,2024-01-19 12-10-33,0,8.4,3.1,250.402,142.023,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-11-33,2024-01-19 12-11-33,0,7.6,4,250.738,142.132,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-12-33,2024-01-19 12-12-33,0,8.2,4.3,250.723,142.239,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-13-33,2024-01-19 12-13-33,0,8.3,2.9,250.727,142.347,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-14-33,2024-01-19 12-14-33,0,7.9,3.6,250.73,142.455,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-15-33,2024-01-19 12-15-33,0,7.2,3.8,250.727,142.563,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-16-34,2024-01-19 12-16-34,0,6.2,2.2,250.727,142.672,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-17-34,2024-01-19 12-17-34,0,7.1,3.7,250.719,142.616,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-18-34,2024-01-19 12-18-34,0,7.4,3.4,250.707,142.723,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-19-34,2024-01-19 12-19-34,0,7.4,4,250.879,142.831,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-20-34,2024-01-19 12-20-34,0,7.8,4,259.145,142.809,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-21-34,2024-01-19 12-21-34,0,9.1,4.4,244.605,142.916,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-22-34,2024-01-19 12-22-34,0,9.2,4.2,244.605,143.023,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-23-35,2024-01-19 12-23-35,0,9.3,4,244.855,143.131,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-24-35,2024-01-19 12-24-35,0,8.3,6,245.617,143.238,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-25-35,2024-01-19 12-25-35,0,9.7,6.4,246.371,143.346,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-26-35,2024-01-19 12-26-35,0,10.5,6.9,246.398,143.452,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-27-35,2024-01-19 12-27-35,0,10.7,4.8,247.297,143.559,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-28-36,2024-01-19 12-28-36,0,9.5,3.7,247.68,143.667,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-29-36,2024-01-19 12-29-36,0,8.2,2,248.57,143.774,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-30-36,2024-01-19 12-30-36,0,6.7,3.2,249.336,143.883,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-31-36,2024-01-19 12-31-36,0,8.1,3.1,257.938,143.991,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-32-36,2024-01-19 12-32-36,0,7.9,2.6,257.938,144.099,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-33-36,2024-01-19 12-33-36,0,7.5,4.7,257.93,144.207,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-34-36,2024-01-19 12-34-36,0,8.3,3.2,257.926,144.314,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-35-37,2024-01-19 12-35-37,0,9.6,4.7,257.98,144.421,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-36-37,2024-01-19 12-36-37,0,10.1,5.5,258.02,144.528,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-37-37,2024-01-19 12-37-37,0,11.4,5.1,258.156,144.634,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-38-37,2024-01-19 12-38-37,0,9.9,4.9,258.148,144.678,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-39-37,2024-01-19 12-39-37,0,10.6,6.2,258.156,144.356,0,0,0,0,0,0,0,0,0,0,
2024-01-19 07-40-38,2024-01-19 12-40-38,0,11.8,5,258.656,144.072,0,0,0,0,0,0,0,0,0,0,
