Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-15 08-24-03,2024-01-15 13-24-03,0,1.1,0.5,233.004,140.888,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-25-03,2024-01-15 13-25-03,0,0.8,0.4,233.406,140.731,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-26-04,2024-01-15 13-26-04,0,0.9,0.7,234.477,140.842,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-27-04,2024-01-15 13-27-04,0,0.8,0.5,235.469,140.953,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-28-05,2024-01-15 13-28-05,0,0.9,0.5,236.406,141.064,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-29-05,2024-01-15 13-29-05,0,0.9,0.4,237.363,141.175,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-30-05,2024-01-15 13-30-05,0,0.8,0.5,238.238,141.286,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-31-06,2024-01-15 13-31-06,0,0.9,0.3,238.941,141.396,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-32-06,2024-01-15 13-32-06,0,0.9,0.5,239.906,141.508,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-33-06,2024-01-15 13-33-06,0,0.8,0.5,250.27,141.619,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-34-07,2024-01-15 13-34-07,0,0.8,0.4,250.566,141.73,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-35-07,2024-01-15 13-35-07,0,0.9,0.7,250.566,141.84,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-36-07,2024-01-15 13-36-07,0,1,0.5,250.547,141.951,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-37-08,2024-01-15 13-37-08,0,0.9,0.3,250.543,142.062,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-38-08,2024-01-15 13-38-08,0,1,0.6,250.535,142.173,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-39-09,2024-01-15 13-39-09,0,0.9,0.5,250.531,142.284,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-40-09,2024-01-15 13-40-09,0,1.1,0.5,250.527,142.395,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-41-09,2024-01-15 13-41-09,0,1,0.7,250.527,142.506,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-42-10,2024-01-15 13-42-10,0,1,0.4,250.707,142.53,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-43-10,2024-01-15 13-43-10,0,0.9,0.8,250.734,142.641,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-44-10,2024-01-15 13-44-10,0,1.1,0.5,250.766,142.752,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-45-11,2024-01-15 13-45-11,0,1,0.6,250.766,142.808,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-46-11,2024-01-15 13-46-11,0,0.8,0.4,250.762,142.919,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-47-11,2024-01-15 13-47-11,0,1,0.6,251.113,143.03,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-48-12,2024-01-15 13-48-12,0,0.8,0.4,251.102,143.141,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-49-12,2024-01-15 13-49-12,0,1,0.6,251.094,143.252,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-50-13,2024-01-15 13-50-13,0,0.9,0.5,251.215,143.362,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-51-13,2024-01-15 13-51-13,0,1.1,0.5,251.207,143.473,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-52-13,2024-01-15 13-52-13,0,1.2,0.7,251.195,143.584,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-53-14,2024-01-15 13-53-14,0,1,0.6,251.184,143.695,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-54-14,2024-01-15 13-54-14,0,1.1,0.6,257.77,143.806,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-55-14,2024-01-15 13-55-14,0,1,0.7,257.77,143.917,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-56-15,2024-01-15 13-56-15,0,1.2,1.1,257.762,144.027,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-57-15,2024-01-15 13-57-15,0,1,0.5,257.75,144.138,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-58-15,2024-01-15 13-58-15,0,1,0.4,257.82,144.249,0,0,0,0,0,0,0,0,0,0,
2024-01-15 08-59-16,2024-01-15 13-59-16,0,1,0.3,257.816,143.406,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-00-16,2024-01-15 14-00-16,0,0.9,0.5,257.805,143.517,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-01-16,2024-01-15 14-01-16,0,1.1,0.4,257.805,143.628,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-02-17,2024-01-15 14-02-17,0,1,0.8,256.902,143.739,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-03-17,2024-01-15 14-03-17,0,1,0.4,256.902,143.85,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-04-18,2024-01-15 14-04-18,0,1,0.5,256.117,143.96,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-05-18,2024-01-15 14-05-18,0,0.9,0.5,256.117,144.071,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-06-18,2024-01-15 14-06-18,0,0.9,0.7,256.117,144.182,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-07-19,2024-01-15 14-07-19,0,0.9,0.4,256.113,144.293,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-08-19,2024-01-15 14-08-19,0,1,0.7,256.113,144.404,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-09-19,2024-01-15 14-09-19,0,1,0.7,256.113,143.349,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-10-20,2024-01-15 14-10-20,0,0.9,0.4,256.102,143.46,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-11-20,2024-01-15 14-11-20,0,0.8,0.5,256.094,143.571,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-12-20,2024-01-15 14-12-20,0,0.9,0.5,256.094,143.681,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-13-21,2024-01-15 14-13-21,0,0.8,0.4,256.086,143.792,0,0,0,0,0,0,0,0,0,0,
2024-01-15 09-14-21,2024-01-15 14-14-21,0,0.8,0.4,262.309,143.903,0,0,0,0,0,0,0,0,0,0,
