Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-16 08-03-24,2024-01-16 13-03-24,0,1.3,0.5,233.879,141.913,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-04-24,2024-01-16 13-04-24,0,0.8,0.4,234.969,142.024,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-05-25,2024-01-16 13-05-25,0,0.8,0.4,235.852,142.135,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-06-25,2024-01-16 13-06-25,0,1,0.6,244.832,142.246,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-07-25,2024-01-16 13-07-25,0,1,0.4,244.832,142.357,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-08-26,2024-01-16 13-08-26,0,0.9,0.5,244.816,142.468,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-09-26,2024-01-16 13-09-26,0,0.9,0.7,244.922,142.579,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-10-26,2024-01-16 13-10-26,0,0.8,0.6,244.906,142.69,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-11-27,2024-01-16 13-11-27,0,0.9,0.5,244.891,142.801,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-12-27,2024-01-16 13-12-27,0,0.9,0.4,251.902,142.912,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-13-27,2024-01-16 13-13-27,0,1,0.5,252.262,143.022,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-14-28,2024-01-16 13-14-28,0,1,0.5,252.262,143.133,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-15-28,2024-01-16 13-15-28,0,0.8,0.4,252.242,143.244,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-16-28,2024-01-16 13-16-28,0,0.9,0.5,252.23,143.355,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-17-29,2024-01-16 13-17-29,0,0.8,0.3,252.219,143.466,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-18-29,2024-01-16 13-18-29,0,0.8,0.3,252.219,143.427,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-19-29,2024-01-16 13-19-29,0,0.9,0.3,252.219,143.515,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-20-30,2024-01-16 13-20-30,0,0.7,0.5,252.215,143.571,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-21-30,2024-01-16 13-21-30,0,0.6,0.3,252.215,143.682,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-22-30,2024-01-16 13-22-30,0,0.6,0.3,252.215,143.793,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-23-30,2024-01-16 13-23-30,0,0.7,0.3,253.195,143.904,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-24-31,2024-01-16 13-24-31,0,0.6,0.4,253.195,144.015,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-25-31,2024-01-16 13-25-31,0,0.7,1.1,253.191,144.126,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-26-31,2024-01-16 13-26-31,0,0.7,0.4,253.191,144.237,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-27-32,2024-01-16 13-27-32,0,0.7,0.2,253.184,144.347,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-28-32,2024-01-16 13-28-32,0,0.7,0.5,253.176,144.458,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-29-32,2024-01-16 13-29-32,0,0.8,0.3,253.164,144.569,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-30-33,2024-01-16 13-30-33,0,0.8,0.5,253.152,144.68,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-31-33,2024-01-16 13-31-33,0,0.9,0.4,253.145,144.791,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-32-33,2024-01-16 13-32-33,0,0.8,0.5,253.141,144.902,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-33-33,2024-01-16 13-33-33,0,0.7,0.3,259.02,145.013,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-34-34,2024-01-16 13-34-34,0,0.7,0.2,259.02,145.124,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-35-34,2024-01-16 13-35-34,0,0.7,0.4,259.008,145.235,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-36-34,2024-01-16 13-36-34,0,0.8,0.3,259.066,145.345,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-37-35,2024-01-16 13-37-35,0,0.7,0.6,258.816,145.457,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-38-35,2024-01-16 13-38-35,0,0.8,0.2,258.816,145.213,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-39-35,2024-01-16 13-39-35,0,0.8,0.5,258.793,144.896,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-40-36,2024-01-16 13-40-36,0,0.8,0.3,258.789,144.846,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-41-36,2024-01-16 13-41-36,0,0.9,0.3,258.785,144.957,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-42-36,2024-01-16 13-42-36,0,0.7,0.6,258.785,144.213,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-43-37,2024-01-16 13-43-37,0,0.8,0.3,259.008,144.324,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-44-37,2024-01-16 13-44-37,0,0.7,0.3,259.008,144.435,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-45-37,2024-01-16 13-45-37,0,0.6,0.4,259.004,144.546,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-46-37,2024-01-16 13-46-37,0,0.5,0.3,259.004,144.656,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-47-38,2024-01-16 13-47-38,0,0.5,0.1,259.004,144.767,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-48-38,2024-01-16 13-48-38,0,0.6,0.4,258.992,144.878,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-49-38,2024-01-16 13-49-38,0,0.6,0.6,258.988,144.989,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-50-39,2024-01-16 13-50-39,0,0.6,0.5,258.98,145.1,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-51-39,2024-01-16 13-51-39,0,0.7,0.4,258.98,145.21,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-52-39,2024-01-16 13-52-39,0,0.7,0.6,258.977,145.321,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-53-39,2024-01-16 13-53-39,0,0.8,0.4,261.609,145.432,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-54-40,2024-01-16 13-54-40,0,0.8,0.5,261.609,145.543,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-55-40,2024-01-16 13-55-40,0,0.9,0.5,261.605,145.654,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-56-40,2024-01-16 13-56-40,0,1,0.6,261.605,145.765,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-57-41,2024-01-16 13-57-41,0,1.1,0.4,261.598,145.755,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-58-41,2024-01-16 13-58-41,0,1.1,0.7,261.586,145.438,0,0,0,0,0,0,0,0,0,0,
2024-01-16 08-59-41,2024-01-16 13-59-41,0,1.1,0.5,261.578,145.135,0,0,0,0,0,0,0,0,0,0,
2024-01-16 09-00-42,2024-01-16 14-00-42,0,1,0.4,247.129,145.245,0,0,0,0,0,0,0,0,0,0,
2024-01-16 09-01-42,2024-01-16 14-01-42,0,0.7,0.3,247.133,145.356,0,0,0,0,0,0,0,0,0,0,
2024-01-16 09-02-42,2024-01-16 14-02-42,0,0.7,0.4,247.133,145.467,0,0,0,0,0,0,0,0,0,0,
2024-01-16 09-03-43,2024-01-16 14-03-43,0,0.7,0.3,256.676,145.578,0,0,0,0,0,0,0,0,0,0,
