Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-17 14-01-44,2024-01-17 19-01-44,0,1.2,0.4,233.676,141.563,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-02-44,2024-01-17 19-02-44,0,0.9,0.6,234.434,141.662,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-03-44,2024-01-17 19-03-44,0,0.9,0.3,235.047,141.773,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-04-45,2024-01-17 19-04-45,0,1,0.6,236.062,141.884,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-05-45,2024-01-17 19-05-45,0,1,0.6,237.031,141.994,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-06-45,2024-01-17 19-06-45,0,1,0.6,237.922,142.105,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-07-46,2024-01-17 19-07-46,0,1,0.7,239.234,142.216,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-08-46,2024-01-17 19-08-46,0,1,0.6,240.121,142.327,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-09-47,2024-01-17 19-09-47,0,1.1,0.3,241.07,142.438,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-10-47,2024-01-17 19-10-47,0,1,0.5,251.238,142.549,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-11-47,2024-01-17 19-11-47,0,1,0.5,251.578,142.66,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-12-48,2024-01-17 19-12-48,0,1,0.3,251.582,142.771,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-13-48,2024-01-17 19-13-48,0,1,0.7,251.562,142.881,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-14-48,2024-01-17 19-14-48,0,1.1,0.6,251.555,142.954,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-15-49,2024-01-17 19-15-49,0,0.9,0.4,251.555,142.876,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-16-49,2024-01-17 19-16-49,0,0.9,0.2,251.539,142.986,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-17-49,2024-01-17 19-17-49,0,0.9,0.4,251.539,143.097,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-18-50,2024-01-17 19-18-50,0,1.2,0.3,251.539,143.15,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-19-50,2024-01-17 19-19-50,0,1.1,0.6,251.539,143.258,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-20-50,2024-01-17 19-20-50,0,1,0.5,251.539,143.369,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-21-51,2024-01-17 19-21-51,0,0.9,0.6,251.531,143.48,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-22-51,2024-01-17 19-22-51,0,0.9,0.5,251.531,143.59,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-23-51,2024-01-17 19-23-51,0,1.1,0.5,251.531,143.701,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-24-52,2024-01-17 19-24-52,0,1,0.7,251.539,143.813,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-25-52,2024-01-17 19-25-52,0,1.1,0.6,251.539,143.923,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-26-53,2024-01-17 19-26-53,0,1.3,0.9,251.527,144.034,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-27-53,2024-01-17 19-27-53,0,1.3,0.8,251.512,144.145,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-28-53,2024-01-17 19-28-53,0,1.2,0.6,251.496,144.256,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-29-54,2024-01-17 19-29-54,0,1.1,0.6,251.742,144.367,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-30-54,2024-01-17 19-30-54,0,1,0.6,252.5,144.478,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-31-54,2024-01-17 19-31-54,0,1.2,0.3,258.73,144.588,0,0,0,0,0,0,0,0,0,0,
2024-01-17 14-32-55,2024-01-17 19-32-55,0,1,0.5,258.73,144.699,0,0,0,0,0,0,0,0,0,0,
