Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-18 14-02-00,2024-01-18 19-02-00,0,1.3,0.4,234.008,141.913,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-03-00,2024-01-18 19-03-00,0,0.9,0.6,234.855,141.731,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-04-01,2024-01-18 19-04-01,0,1,0.4,235.723,141.842,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-05-01,2024-01-18 19-05-01,0,1,0.6,236.707,141.953,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-06-01,2024-01-18 19-06-01,0,1.1,0.6,237.645,142.064,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-07-02,2024-01-18 19-07-02,0,1.1,0.5,238.605,142.174,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-08-02,2024-01-18 19-08-02,0,1,0.6,239.676,142.285,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-09-02,2024-01-18 19-09-02,0,1,0.6,240.438,142.101,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-10-03,2024-01-18 19-10-03,0,0.9,0.2,241.336,142.212,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-11-03,2024-01-18 19-11-03,0,0.9,0.6,251.484,142.323,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-12-03,2024-01-18 19-12-03,0,1.1,0.5,251.832,142.433,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-13-04,2024-01-18 19-13-04,0,1.2,0.7,251.828,142.544,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-14-04,2024-01-18 19-14-04,0,1.3,0.5,251.812,142.655,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-15-05,2024-01-18 19-15-05,0,1.2,0.5,251.82,142.766,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-16-05,2024-01-18 19-16-05,0,1.2,0.7,251.816,142.877,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-17-05,2024-01-18 19-17-05,0,1.3,0.8,251.812,142.988,0,0,0,0,0,0,0,0,0,0,
2024-01-18 14-18-06,2024-01-18 19-18-06,0,1.2,0.8,251.883,143.099,0,0,0,0,0,0,0,0,0,0,
