Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-18 07-01-34,2024-01-18 12-01-34,0,1.6,0.8,233.859,142.319,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-02-34,2024-01-18 12-02-34,0,1,0.4,234.609,142.136,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-03-34,2024-01-18 12-03-34,0,1,0.5,235.484,142.247,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-04-35,2024-01-18 12-04-35,0,0.9,0.5,236.469,142.358,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-05-35,2024-01-18 12-05-35,0,1,0.5,237.477,142.469,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-06-36,2024-01-18 12-06-36,0,0.9,0.6,238.367,142.58,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-07-36,2024-01-18 12-07-36,0,1,0.6,239.309,142.691,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-08-36,2024-01-18 12-08-36,0,0.9,0.6,240.328,142.802,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-09-37,2024-01-18 12-09-37,0,1,0.4,241.031,142.913,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-10-37,2024-01-18 12-10-37,0,1,0.5,251.664,143.024,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-11-37,2024-01-18 12-11-37,0,1.1,0.3,252.023,143.135,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-12-38,2024-01-18 12-12-38,0,1,0.8,252.023,143.246,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-13-38,2024-01-18 12-13-38,0,0.9,0.5,252.066,143.357,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-14-38,2024-01-18 12-14-38,0,1,0.6,252.062,143.468,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-15-39,2024-01-18 12-15-39,0,1,0.7,252.066,143.578,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-16-39,2024-01-18 12-16-39,0,1,0.7,252.055,143.689,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-17-39,2024-01-18 12-17-39,0,1.1,0.8,252.043,143.65,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-18-40,2024-01-18 12-18-40,0,0.9,0.6,252.039,143.761,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-19-40,2024-01-18 12-19-40,0,0.9,0.5,252.039,143.828,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-20-41,2024-01-18 12-20-41,0,0.9,0.5,252.602,143.939,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-21-41,2024-01-18 12-21-41,0,1,0.6,252.66,144.05,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-22-41,2024-01-18 12-22-41,0,0.8,0.6,252.66,144.161,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-23-41,2024-01-18 12-23-41,0,0.9,0.6,252.66,144.272,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-24-42,2024-01-18 12-24-42,0,0.9,0.7,252.656,144.383,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-25-42,2024-01-18 12-25-42,0,0.9,0.5,252.656,144.493,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-26-42,2024-01-18 12-26-42,0,1.1,0.6,252.656,144.604,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-27-43,2024-01-18 12-27-43,0,1.2,0.8,253.164,144.715,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-28-43,2024-01-18 12-28-43,0,1.1,0.7,253.16,144.826,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-29-43,2024-01-18 12-29-43,0,1.2,0.5,253.152,144.937,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-30-44,2024-01-18 12-30-44,0,1.2,0.7,253.145,145.048,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-31-44,2024-01-18 12-31-44,0,1.2,0.7,259.492,145.159,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-32-45,2024-01-18 12-32-45,0,1,0.6,259.492,145.27,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-33-45,2024-01-18 12-33-45,0,1,0.6,259.539,145.381,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-34-45,2024-01-18 12-34-45,0,0.9,0.2,259.539,145.491,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-35-46,2024-01-18 12-35-46,0,1.1,0.6,259.609,145.603,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-36-46,2024-01-18 12-36-46,0,1.1,0.7,259.609,145.515,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-37-46,2024-01-18 12-37-46,0,1.1,0.6,259.598,145.198,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-38-47,2024-01-18 12-38-47,0,1.1,0.5,256.922,144.987,0,0,0,0,0,0,0,0,0,0,
2024-01-18 07-39-47,2024-01-18 12-39-47,0,1,0.7,256.922,145.098,0,0,0,0,0,0,0,0,0,0,
