Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-16 14-01-45,2024-01-16 19-01-45,0,1.4,0.5,235.281,142.659,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-02-45,2024-01-16 19-02-45,0,1.1,0.3,236.145,142.758,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-03-45,2024-01-16 19-03-45,0,1.1,0.8,237.031,142.869,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-04-46,2024-01-16 19-04-46,0,1.2,0.7,238.012,142.98,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-05-46,2024-01-16 19-05-46,0,1.2,0.7,238.949,143.09,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-06-46,2024-01-16 19-06-46,0,1.2,0.6,239.902,143.201,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-07-47,2024-01-16 19-07-47,0,1,0.9,240.973,143.312,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-08-47,2024-01-16 19-08-47,0,0.9,0.2,241.871,143.423,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-09-47,2024-01-16 19-09-47,0,0.9,0.6,242.848,143.534,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-10-48,2024-01-16 19-10-48,0,0.8,0.2,252.801,143.645,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-11-48,2024-01-16 19-11-48,0,0.9,0.2,253.141,143.756,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-12-48,2024-01-16 19-12-48,0,0.9,0.3,253.145,143.867,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-13-49,2024-01-16 19-13-49,0,1,0.6,253.125,143.977,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-14-49,2024-01-16 19-14-49,0,1,0.5,257.102,144.088,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-15-49,2024-01-16 19-15-49,0,0.9,0.4,257.09,144.199,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-16-50,2024-01-16 19-16-50,0,0.9,0.5,257.074,144.309,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-17-50,2024-01-16 19-17-50,0,0.9,0.5,257.059,144.253,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-18-50,2024-01-16 19-18-50,0,0.8,0.4,257.043,144.334,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-19-51,2024-01-16 19-19-51,0,0.8,0.5,243.156,144.442,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-20-51,2024-01-16 19-20-51,0,0.8,0.4,249.465,144.553,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-21-51,2024-01-16 19-21-51,0,0.9,0.6,249.543,144.663,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-22-52,2024-01-16 19-22-52,0,0.9,0.6,249.543,144.774,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-23-52,2024-01-16 19-23-52,0,1,0.5,249.539,144.885,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-24-52,2024-01-16 19-24-52,0,1,0.4,249.539,144.996,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-25-53,2024-01-16 19-25-53,0,1.1,0.8,249.531,145.107,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-26-53,2024-01-16 19-26-53,0,1.1,0.7,249.531,145.218,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-27-53,2024-01-16 19-27-53,0,1.2,0.8,250.031,145.329,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-28-54,2024-01-16 19-28-54,0,1.2,0.9,250.797,145.44,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-29-54,2024-01-16 19-29-54,0,1.2,0.6,251.688,145.55,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-30-54,2024-01-16 19-30-54,0,1.3,0.7,260.145,145.661,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-31-55,2024-01-16 19-31-55,0,1.2,0.9,260.203,145.772,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-32-55,2024-01-16 19-32-55,0,1.1,0.5,260.203,145.883,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-33-55,2024-01-16 19-33-55,0,1.2,0.6,260.199,145.994,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-34-56,2024-01-16 19-34-56,0,1.2,0.6,260.199,146.105,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-35-56,2024-01-16 19-35-56,0,1.2,0.7,260.27,146.215,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-36-56,2024-01-16 19-36-56,0,1.2,0.4,260.262,145.992,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-37-57,2024-01-16 19-37-57,0,1.1,0.6,260.246,145.674,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-38-57,2024-01-16 19-38-57,0,1.3,0.7,259.219,145.608,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-39-57,2024-01-16 19-39-57,0,1.1,0.6,259.219,145.719,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-40-58,2024-01-16 19-40-58,0,1.2,0.5,259.219,144.964,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-41-58,2024-01-16 19-41-58,0,1.1,0.6,260.332,145.074,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-42-58,2024-01-16 19-42-58,0,1.1,0.6,260.332,145.185,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-43-59,2024-01-16 19-43-59,0,1.1,0.8,260.328,145.296,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-44-59,2024-01-16 19-44-59,0,1,0.3,260.328,145.407,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-45-59,2024-01-16 19-45-59,0,1,0.4,260.328,145.517,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-47-00,2024-01-16 19-47-00,0,1,0.7,260.324,145.628,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-48-00,2024-01-16 19-48-00,0,1,0.7,260.312,145.739,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-49-00,2024-01-16 19-49-00,0,1.1,0.4,260.305,145.85,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-50-01,2024-01-16 19-50-01,0,0.9,0.3,260.301,145.961,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-51-01,2024-01-16 19-51-01,0,0.9,0.4,260.301,146.072,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-52-01,2024-01-16 19-52-01,0,0.9,0.4,263.73,146.182,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-53-02,2024-01-16 19-53-02,0,0.7,0.2,263.727,146.293,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-54-02,2024-01-16 19-54-02,0,0.9,0.4,263.723,146.404,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-55-02,2024-01-16 19-55-02,0,1,0.4,263.711,146.515,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-56-03,2024-01-16 19-56-03,0,0.9,0.7,263.703,145.666,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-57-03,2024-01-16 19-57-03,0,1,0.7,263.703,145.777,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-58-03,2024-01-16 19-58-03,0,1.1,0.8,263.699,145.887,0,0,0,0,0,0,0,0,0,0,
2024-01-16 14-59-04,2024-01-16 19-59-04,0,1.2,0.6,248.121,145.998,0,0,0,0,0,0,0,0,0,0,
2024-01-16 15-00-04,2024-01-16 20-00-04,0,1.2,0.6,248.121,146.109,0,0,0,0,0,0,0,0,0,0,
2024-01-16 15-01-04,2024-01-16 20-01-04,0,1.1,0.6,248.371,146.22,0,0,0,0,0,0,0,0,0,0,
2024-01-16 15-02-05,2024-01-16 20-02-05,0,1,0.3,257.199,146.331,0,0,0,0,0,0,0,0,0,0,
